ScientificName ,Genus,CommonName,Group,CommercialImportance,Objective,Quality,Site,Min2014,Max2014,Avg2014,Min2018,Max2018,Avg2018
Paralabrax auroguttatus,Paralabrax,Extranjero,fish,Pesca artesanal,Si,Primera,RGI/Baja,750,750,750,1100,1250,1175
Paralabrax loro,Paralabrax,Extranjero cachete amarillo,fish,Pesca artesanal,Si,Primera,RGI/Baja,750,750,750,1100,1100,1100
Paralabrax maculatofasciatus,Paralabrax,Cabrilla arenera,fish,Pesca artesanal,Si,Segunda,RGI/Baja,400,600,500,500,750,625
Pinctada mazatlanica,Pinctada,Madre perla,invertebrate,Pesca artesanal,No,Segunda,RGI,4000,4000,4000,4000,4000,4000
Pinna rugosa,Pinna,Callo de hacha,invertebrate,Pesca artesanal,Si,Primera,RGI,7500,7500,7500,7500,7500,7500
Pteria sterna,Pteria,Callo de árbol,invertebrate,Pesca artesanal,Si,Primera,RGI,4000,4000,4000,2500,2500,2500
Rhizoprionodon longurio,Rhizoprionodon,Tiburon bironcha,fish,Pesca artesanal,No,Primera,RGI,1200,1200,1200,750,1400,1075
Scarus compressus,Scarus,Perico cola chata,fish,Pesca artesanal,No,Segunda,RGI/Baja,1500,1500,1500,1500,1500,1500
Scarus ghobban,Scarus,Perico azul,fish,Pesca artesanal,No,Segunda,RGI/Baja,1500,1500,1500,1750,1750,1750
Scarus perrico,Scarus,Perico,fish,Pesca artesanal,No,Segunda,RGI/Baja,1500,1500,1500,1500,1500,1500
Scomberomorus concolor,Scomberomorus,"Sierra, macarela",fish,Pesca artesanal,Si,Segunda,RGI/Baja,500,750,625,1000,1250,1125
Scomberomorus sierra,Scomberomorus,Sierra del Pacífico,fish,Pesca artesanal,Si,Segunda,RGI/Baja,500,750,625,1100,1100,1100
Scorpaena plumieri,Scorpaena,"Lupón, pez escorpión",fish,Pesca artesanal,No,Segunda,RGI,250,250,250,250,250,250
Semicossyphus pulcher,Semicossyphus,Vieja Californiana,fish,Pesca artesanal,No,Segunda,RGI/Baja,1750,1750,1750,1750,1750,1750
Seriola lalandi,Seriola,Jurel aleta amarilla,fish,Pesca artesanal,Si,Primera,RGI/Baja,500,500,500,1000,2000,1500
Sphoeroides annulatus,Sphoeroides,Botete Diana,fish,Pesca artesanal,Si,Primera,RGI,2250,2250,2250,0,0,3000
Sphoeroides lobatus,Sphoeroides,Botete verrugoso,fish,Pesca artesanal,Si,Primera,RGI,2000,2000,2000,0,0,3000
Sphyraena argentea,Sphyraena,Barracuda,fish,Pesca artesanal,No,Segunda,RGI,250,250,250,250,250,250
Sphyraena ensis,Sphyraena,Barracuda,fish,Pesca artesanal,No,Segunda,RGI,250,250,250,500,750,625
Sphyrna lewini ,Sphyrna,"Cornuda, tiburón martillo",fish,Pesca artesanal,Si,Primera,RGI,500,500,500,1000,1400,1200
Spondylus limbatus,Spondylus,Callo de escarlopa,invertebrate,Pesca artesanal,Si,Primera,RGI/Baja,6500,8000,7500,12500,15000,13750
Stereolepis gigas,Stereolepis,Pescada,fish,Pesca artesanal,No,Segunda,RGI/Baja,2250,2250,2250,2250,2250,2250
Strombus galeatus,Strombus,"Caracol buro, amarillo",invertebrate,Pesca artesanal,No,Segunda,RGI,2500,2500,2500,4000,4000,4000
Trachinotus paitensis,Trachinotus,Palometa,fish,Pesca artesanal,No,Segunda,RGI,250,500,375,400,600,500
Trachinotus rhodopus ,Trachinotus,Pampano,fish,Pesca artesanal,No,Segunda,RGI,500,600,550,500,500,500
Urobatis concentricus,Urobatis,Manta redonda,fish,Pesca artesanal,No,Segunda,RGI,400,400,400,1250,1250,1250
Squatina californica,Squatina,Angelito,fish,Pesca artesanal,,,RGI,0,0,0,0,0,1250
Micropogonias megalops,Micropogonias,Chano,fish,Pesca artesanal,,,RGI,0,0,0,0,0,750
Cynoscion spp,Cynoscion,Corvina,fish,Pesca artesanal,,,RGI,0,0,0,0,0,1000
Paralichthys woolmani,Paralichthys,Lenguado,fish,Pesca artesanal,,,RGI,0,0,0,2000,5000,3500
Merluccius productus,Merluccius,Merluza,fish,Pesca artesanal,,,RGI,0,0,0,750,750,750
Rhinobatos productus,Rhinobatos,Payaso,fish,Pesca artesanal,,,RGI,0,0,0,0,0,1000
