"","Name","Adjusted","Implementation_year","Reserve_size","C_change","B_change","PV_change","C_per","B_per","PV_per","Transition_period","Payoff_period","B_per_50","Loss"
"1541","Dasyatis","IUU",2020,0.55,789.323211344134,16395.0630451162,66749.7574452367,17.0974476900406,172.069120773388,8.34740406814239,8,-5,223.606028489699,-4.42429250228
"1542","Dasyatis","IUU",2020,0.6,683.869021344133,17296.7679451162,54489.5052852366,14.8132154879364,181.53267507099,6.81419581879707,8,-5,239.637660952347,-0.534792502279998
"1543","Dasyatis","IUU",2020,0.65,-250.246928655866,23085.2343451162,-43793.4452647633,-5.42057260041933,242.283665862147,-5.47659792563251,12,-5,345.381384192899,-3.6397088538115
"1544","Dasyatis","IUU",2020,0.7,-508.741468655867,24258.2710451162,-68867.3020947634,-11.0197958492644,254.594895959188,-8.61221403148097,13,-5,366.052291918828,-2.3869878461294
"1545","Dasyatis","IUU",2020,0.75,-638.636898655867,24988.1851451162,-83019.9202807633,-13.8334471997909,262.255475066538,-10.3820724870357,14,-5,379.189856800898,-3.3782338578322
"1546","Dasyatis","IUU",2020,0.8,-906.144808655867,26135.5081451162,-108465.946234763,-19.6279081153752,274.29683528027,-13.5642302760096,15,-5,400.19339578624,-0.655005688888792
"1547","Dasyatis","IUU",2020,0.85,-1827.48924865587,29680.2406451162,-193870.135614763,-39.5850538587326,311.499437244862,-24.2444680049916,40,-5,463.123296096635,-10.7097243212116
"1548","Dasyatis","IUU",2020,0.9,-2129.08629865587,30584.3826451162,-218750.952884763,-46.1179160775752,320.988569343115,-27.3559435106322,40,-5,479.141581159223,-1.9377943212116
"1549","Dasyatis","IUU",2025,0.05,117.819131344133,1039.54294511616,16990.3645252367,2.55206790588613,10.9101892490496,2.12473338309192,5,-10,15.0837653636129,-1.5094518894754
"1550","Dasyatis","IUU",2025,0.1,322.830641344133,1843.19964511616,43243.3444186366,6.99280082454984,19.3447101406198,5.40780495594099,4,-10,24.3403690159716,-2.02874933402801
"1551","Dasyatis","IUU",2025,0.15,519.080061344133,2687.22214511616,66811.4509662366,11.2437390263252,28.2028773271875,8.35511916356571,4,-10,33.893189057163,-3.897249334028
"1552","Dasyatis","IUU",2025,0.2,681.015811344133,3511.45304511616,85961.2787932067,14.7514124039492,36.8533281297848,10.7499046553066,4,-10,43.5861219158071,-5.021849334028
"1553","Dasyatis","IUU",2025,0.25,1107.25508134413,6992.62714511616,135850.480095237,23.9841367398472,73.388873311755,16.9888085531463,4,-10,90.5048254791051,-3.72274933402801
"1554","Dasyatis","IUU",2025,0.3,1032.01383134413,6135.59074511616,126541.660485237,22.3543438774054,64.3941229156765,15.8246922828232,4,-10,78.3765782855421,-4.627949334028
"1555","Dasyatis","IUU",2025,0.35,1157.93619134413,7963.65694511616,143145.221665237,25.0819349733777,83.5800048414706,17.9010538973698,4,-10,105.281761428936,-2.112349334028
"1556","Dasyatis","IUU",2025,0.4,1120.00795134413,7001.02474511616,137031.689365237,24.2603753257512,73.4770076266173,17.1365249111243,4,-10,90.4135302496337,-3.960149334028
"1557","Dasyatis","IUU",2025,0.45,1086.68321134413,13307.6170451162,154705.212235237,23.5385316111036,139.665822463806,19.3466907956143,5,-10,196.604675333325,-6.03212188947539
"1558","Dasyatis","IUU",2025,0.5,1083.59690134413,13345.3529451162,154622.128685237,23.4716793723478,140.061867487647,19.3363007659002,5,-10,197.215705287364,-5.89952188947539
"1559","Dasyatis","IUU",2025,0.55,860.545691344133,15711.3381451162,145952.938985237,18.6401903949983,164.893305586211,18.2521735399901,6,-10,243.098672925572,-12.3744095014163
"1560","Dasyatis","IUU",2025,0.6,892.007941344134,15555.8156451162,147441.335385237,19.3216909081658,163.261069115888,18.4383052450313,6,-10,240.464284270833,-13.2172095014163
"1561","Dasyatis","IUU",2025,0.65,86.6083513441336,20582.3268451162,107197.192685237,1.87601445813987,216.015203721015,13.4055660509077,8,-10,344.107123084365,-7.2985278461294
"1562","Dasyatis","IUU",2025,0.7,-61.0854086558666,21237.6669451162,99445.3388852366,-1.32316466069701,222.893115352354,12.4361564467027,8,-10,357.906932392223,-3.0740878461294
"1563","Dasyatis","IUU",2025,0.75,-465.621478655867,23056.4952451162,78289.5967752367,-10.0857782468115,241.982043864403,9.79052094909857,10,-10,395.747255243411,-2.13333568888879
"1564","Dasyatis","IUU",2025,0.8,-547.381798655867,23408.1660451162,73921.9544852367,-11.8567800040517,245.672891846576,9.24432458202341,11,-10,402.703021870311,-3.44951092167069
"1565","Dasyatis","IUU",2025,0.85,-1366.10528865587,26458.0056451162,30570.9529552367,-29.5910640612066,277.681504257993,3.8230565448106,44,-10,465.071329706143,-7.2830108818755
"1566","Dasyatis","IUU",2025,0.9,-1463.09858865587,26774.3228451162,25357.1312203367,-31.6920258081827,281.001309881169,3.17104104054184,44,-10,470.931060472437,-8.5620808818755
"1567","Dasyatis","IUU",2030,0.05,120.255791344133,917.52854511616,13207.1619562367,2.60484814380347,9.62962628494761,1.6516242404709,4,-15,15.0623657273972,-0.147163857832197
"1568","Dasyatis","IUU",2030,0.1,332.639111344133,1647.79434511616,32769.3973512367,7.20526106939524,17.2938965467388,4.09798344188302,4,-15,24.0111655929872,-2.6329938578322
"1569","Dasyatis","IUU",2030,0.15,513.503001344134,2406.59494511616,49369.3509872366,11.1229349118082,25.2576446412124,6.1738939143039,4,-15,33.7662080500178,-4.4028238578322
"1570","Dasyatis","IUU",2030,0.2,668.599411344133,3176.93944511616,63632.9142862366,14.482462059594,33.3425480321207,7.95762663282296,4,-15,44.1846931006339,-5.6190638578322
"1571","Dasyatis","IUU",2030,0.25,1054.73060134413,6256.68774511616,102627.244725237,22.8464094611608,65.6650576025975,12.8340703084131,4,-15,91.841727887789,-6.01087385783221
"1572","Dasyatis","IUU",2030,0.3,996.704341344133,5465.67864511616,95453.0820952366,21.5895087001794,57.3632755364838,11.9369039872873,4,-15,78.2995280911914,-6.6313838578322
"1573","Dasyatis","IUU",2030,0.35,1106.41648134413,6985.33034511616,109042.918635237,23.9659719127817,73.3122920898954,13.6363836732241,4,-15,104.262511133183,-5.4193938578322
"1574","Dasyatis","IUU",2030,0.4,1054.20835134413,6152.16494511616,102054.243695237,22.8350970584241,64.5680721108504,12.7624135517155,4,-15,89.7892947825216,-6.1722538578322
"1575","Dasyatis","IUU",2030,0.45,1032.89818134413,11767.8430451162,127071.618885237,22.3734996904455,123.50561877074,15.890966334946,5,-15,200.12890969328,-12.0765556888888
"1576","Dasyatis","IUU",2030,0.5,1042.30250134413,11744.9849451162,127365.485185237,22.5772056843268,123.265718920479,15.9277158429891,5,-15,199.315414439226,-12.2319656888888
"1577","Dasyatis","IUU",2030,0.55,943.591761344133,12952.8850451162,127591.483285237,20.4390426487799,135.94284663979,15.95597807991,5,-15,227.361038278339,-8.71768568888879
"1578","Dasyatis","IUU",2030,0.6,787.534821344133,14338.8904451162,125695.905685237,17.0587095609258,150.489221356916,15.7189262496812,5,-15,260.340866777069,-3.87801568888879
"1579","Dasyatis","IUU",2030,0.65,167.665191344134,17916.9027451162,110712.101085237,3.63177820853055,188.041100778372,13.845123613366,6,-15,349.663955376274,-1.1718609216707
"1580","Dasyatis","IUU",2030,0.7,-73.0803286558667,19019.5379451162,103813.265085237,-1.58298537076708,199.613454533626,12.9823883181989,7,-15,378.878947836876,-4.5272681829397
"1581","Dasyatis","IUU",2030,0.75,-24.1671586558668,18774.7566451162,105129.793985237,-0.523482301036056,197.044430983253,13.1470270991668,7,-15,372.305500598331,-6.0525081829397
"1582","Dasyatis","IUU",2030,0.8,-441.955838655867,20584.8789451162,93103.1950852367,-9.5731592890308,216.041988467247,11.6430384042844,9,-15,418.972582145917,-3.9583902483893
"1583","Dasyatis","IUU",2030,0.85,-1002.49107865587,22572.0371451162,75527.0775852366,-21.7148546130595,236.897569404673,9.44505356753023,47,-15,468.647899151278,-4.57899943713051
"1584","Dasyatis","IUU",2030,0.9,-1287.96278665587,23534.7090451162,66472.3737652367,-27.8984274820304,247.000983278131,8.31271579739073,47,-15,492.306295837352,-2.2768694371305
"1585","Dasyatis","IUU_20",2015,0.05,97.0631046608951,1454.33824627945,1058.66840024572,1.77165177427176,12.9017537447862,0.11229268188929,11,NA,14.6661798486174,-0.805519467696001
"1586","Dasyatis","IUU_20",2015,0.1,317.026800780911,2590.52478122438,22727.8162117491,5.78655603545188,22.9811138382874,2.41073355482399,9,NA,23.5422666288387,-1.55150176953299
"1587","Dasyatis","IUU_20",2015,0.15,507.799810780911,3690.22428122438,37989.9933507491,9.26865505577953,32.7367894375237,4.02958871476825,9,NA,32.4741035319773,-3.122001769533
"1588","Dasyatis","IUU_20",2015,0.2,680.495160780911,4860.23618122438,48387.0043977491,12.42079019822,43.1162217675795,5.13239697260348,9,NA,42.4068700060729,-3.799301769533
"1589","Dasyatis","IUU_20",2015,0.25,822.753710780911,6155.66798122438,52727.204226749,15.0173753104863,54.6082815545802,5.59276083972252,9,NA,54.1965423195874,-3.34230176953301
"1590","Dasyatis","IUU_20",2015,0.3,1116.96311078091,10853.7417812244,35237.010061749,20.3874549853375,96.2859252509459,3.73758049326427,10,NA,101.121943681623,-4.32390656653502
"1591","Dasyatis","IUU_20",2015,0.35,1114.43626078091,10983.1888812244,33460.5491017491,20.3413334615983,97.4342788828808,3.54915174123604,10,NA,102.65569997877,-3.941606566535
"1592","Dasyatis","IUU_20",2015,0.4,1109.45792078091,10930.9385812244,33436.3885217491,20.2504659283091,96.9707550049825,3.54658903479881,10,NA,102.020912582754,-3.957906566535
