"","Adjusted","Implementation_year","Reserve_size","C_change","B_change","PV_change","C_per","B_per","PV_per","Transition_period","Payoff_period","B_per_50","Loss"
"143","IUU_20",2030,0.85,-106987.873473366,1497925.91164713,-7120040.21227589,-33.1635286546402,177.217541833616,-9.73098334819317,39,93,354.54592515338,113085.537581254
"144","IUU_20",2030,0.9,-124238.453733366,1558820.04357713,-9399385.49247489,-38.5107712363343,184.421842319252,-12.8461723506594,41,NA,375.76327099231,136029.308064699
"145","IUU_20_legal",2015,0.05,9881.1216145411,151758.179519585,30048964.1932111,3.06289721596716,17.9543002217195,41.0680222971836,6,20,13.1508233113746,5286.9280623654
"146","IUU_20_legal",2015,0.1,18500.1448306345,225661.449727133,33162343.5857431,5.73457592236822,26.6976938554177,45.3230885780035,7,22,22.0544021426177,7020.18706568041
"147","IUU_20_legal",2015,0.15,25135.7122656344,293880.508167133,35466519.4596041,7.79143361685453,34.7685962604951,48.4722136378861,7,24,30.3932720384749,8997.57513568041
"148","IUU_20_legal",2015,0.2,30458.6013336345,364316.691457133,37209525.3725165,9.44139429371605,43.1018036386023,50.8543857898227,8,25,39.2678475347167,10888.4184920614
"149","IUU_20_legal",2015,0.25,33857.8963116345,439875.180727133,38245145.9859341,10.4950895654194,52.0410239491496,52.2697720297539,9,27,49.4055622425713,12985.4582169702
"150","IUU_20_legal",2015,0.3,35097.7933536345,703793.861827133,37887164.2601171,10.8794262172868,83.2648779093779,51.7805171787944,11,38,87.6888401497522,21911.129530336
"151","IUU_20_legal",2015,0.35,34485.8873956344,710184.879127133,37697320.1758971,10.6897508820056,84.0209903224923,51.52105661857,11,38,88.7443181517372,22175.961448336
"152","IUU_20_legal",2015,0.4,34439.7136486344,707480.025427133,37666900.6667671,10.6754381909313,83.7009828241198,51.4794821712384,11,38,88.4494776786511,22077.296315336
"153","IUU_20_legal",2015,0.45,22816.5125446345,958278.720527133,32608385.9096191,7.07254049461331,113.37262939563,44.5659927244334,12,57,129.734363484198,32667.6510346086
"154","IUU_20_legal",2015,0.5,-5329.63712136552,1233382.77282713,21490222.3007871,-1.65205240234297,145.919809144636,29.370760434383,15,70,182.162154161421,46582.3140715113
"155","IUU_20_legal",2015,0.55,-13029.2994393656,1297229.76282713,18403215.1406633,-4.0387525359578,153.47345818248,25.1517371739349,16,72,194.935042707733,50275.8683339579
"156","IUU_20_legal",2015,0.6,-22031.3265123655,1360790.98782713,15030107.0577011,-6.82915272892549,160.993298758605,20.5416988021897,17,74,208.092247152004,54299.1211965716
"157","IUU_20_legal",2015,0.65,-52063.2997363656,1561098.95782713,3524899.2022091,-16.1383031235957,184.691457510694,4.81749181438851,21,78,251.01561813901,69351.9922293556
"158","IUU_20_legal",2015,0.7,-112488.926651366,1857655.40692713,-17233310.4225109,-34.8687156891757,219.776640640091,-23.5528243880653,36,89,320.505934687861,114501.628939467
"159","IUU_20_legal",2015,0.75,-100264.765610366,1802093.44442713,-13171945.8387659,-31.079535646607,213.203181741263,-18.002143499041,36,87,307.188152374174,105022.054447467
"160","IUU_20_legal",2015,0.8,-118032.137668366,1873386.67182713,-18650838.3658999,-36.586970585108,221.637784822079,-25.4901646841123,38,90,324.753563334735,119534.451666217
"161","IUU_20_legal",2015,0.85,-158227.167017366,2031869.28942713,-31145598.3073679,-49.0464107470018,240.387644008069,-42.56679589758,42,98,364.608597140527,155037.108811158
"162","IUU_20_legal",2015,0.9,-214108.611362366,2201911.87482713,-46248959.0743789,-66.3682419100396,260.505146988229,-63.208610795218,52,NA,411.016480896971,216654.904188897
"163","IUU_20_legal",2020,0.05,10604.7938186345,145148.541917133,29665599.9470661,3.28721725428433,17.1723231431405,40.5440770687427,2,12,11.5699587805362,3823.84270568041
"164","IUU_20_legal",2020,0.1,18949.6865806344,211977.799907133,31626729.6178421,5.87392246907095,25.0788001801318,43.224359707746,3,13,20.1057972991212,4806.2471820614
"165","IUU_20_legal",2020,0.15,26902.6337806344,278370.484117133,33346352.8534101,8.33913449538251,32.9336267773257,45.5745746744575,3,15,28.5120681524899,6276.8050820614
"166","IUU_20_legal",2020,0.2,32739.1299746344,345679.645397133,34382081.194412,10.1483003614617,40.8968805084848,46.9901081460472,4,16,37.453365736564,7503.45092697025
"167","IUU_20_legal",2020,0.25,41694.6825886344,602984.759227133,34521959.5117771,12.9242946502581,71.3382924766043,47.1812803215507,6,22,74.8102664964411,13439.434945336
"168","IUU_20_legal",2020,0.3,40559.5543486344,607611.104527133,34233743.3171361,12.5724336711416,71.8856289872853,46.7873742610349,6,22,75.693935691077,13598.962525336
