"","Adjusted","Implementation_year","Reserve_size","C_change","B_change","PV_change","C_per","B_per","PV_per","X","Transition_period","Payoff_period","B_per_50","Loss"
"45","IUU_20",2015,0.25,31113.1237272811,562644.644735235,24101678.7728846,8.90237892285207,65.0018616866771,31.184297302449,45,12,37,86.8071699552833,18329.0200739719
"46","IUU_20",2015,0.3,30863.7644196521,502177.479636266,22946407.9456451,8.83102989779398,58.0161410562102,29.6895338346853,46,11,34,76.5784502679393,16284.5682970704
"47","IUU_20",2015,0.35,21133.5357841431,882278.033381782,23797022.0779219,6.04692557324707,101.928837733919,30.7901129371015,47,14,NA,145.48031669477,32193.704870819
"48","IUU_20",2015,0.4,4448.73116943828,1111384.57827592,18643217.8838984,1.27291270858528,128.397323806028,24.1217906289538,48,16,NA,191.685288881944,44340.2720211558
"49","IUU_20",2015,0.45,1480.31031877635,1150452.65467273,17376907.9746079,0.423560279471387,132.910825750945,22.4833576774376,49,16,NA,199.798672626597,46830.4032574088
"50","IUU_20",2015,0.5,-73638.284123938,1675400.15587097,-8234849.04519603,-21.0700768667957,193.557568210765,-10.6547756812314,50,26,NA,315.882547953013,92136.3159320006
"51","IUU_20",2020,0.05,2394.02234324749,86844.8992205975,1631584.16241065,0.63347281472225,9.41792308978931,2.11358665155552,51,8,45,14.4217115302885,2037.31448632598
"52","IUU_20",2020,0.1,13319.1924780811,163237.201911358,5571277.08294369,3.52433901576382,17.7023109795832,7.21714340327317,52,6,20,24.7951168854467,3513.05721457661
"53","IUU_20",2020,0.15,22718.3503265319,241661.683799058,8880248.45110978,6.0114131214299,26.2070791974472,11.5036508818712,53,6,19,35.7551538106377,5158.56612088329
"54","IUU_20",2020,0.2,30107.1240784795,327207.97647022,11544227.9371296,7.96652741649654,35.4841744813866,14.9546230176573,54,6,20,48.3405330186425,7078.24265523661
"55","IUU_20",2020,0.25,42382.6519345399,563631.248524951,15906066.9511099,11.2147064508791,61.123172428657,20.6050362348105,55,7,24,85.4845253657371,12707.4980012176
"56","IUU_20",2020,0.3,40977.3774704218,585369.150148843,15614820.5521766,10.8428623146901,63.4805461773118,20.2277498432893,56,7,25,89.656208834402,13359.5931715991
"57","IUU_20",2020,0.35,40107.6969492421,819568.107638341,15416887.8669042,10.6127395803661,88.8783276145641,19.9713438967642,57,8,36,130.863008744829,19977.2198026588
"58","IUU_20",2020,0.4,28470.9658462463,1131673.06066928,10294210.5489367,7.53359003659817,122.72464985073,13.3353255724105,58,11,NA,191.840246707459,31106.2860158572
"59","IUU_20",2020,0.45,24107.9407134345,1214033.95651126,8426176.53410888,6.37910715577551,131.65630374874,10.915437068125,59,12,NA,208.490175425957,34355.7872446738
"60","IUU_20",2020,0.5,-5231.26021216513,1506702.82060801,-1370487.73866205,-1.38422314248309,163.394873055358,-1.77535713896417,60,16,NA,271.176677673315,50876.2624253386
"61","IUU_20",2025,0.05,4045.46706382895,88509.319246941,1476940.76316115,0.997134167221907,9.05209487476384,1.91458759159539,61,5,17,14.4066640701574,1264.37402727833
"62","IUU_20",2025,0.1,16586.5492027744,165605.53276034,4564977.92257681,4.08828317359722,16.936939602371,5.9176713815968,62,4,12,24.8687444304774,2293.97321983805
