,Name,Adjusted,r,r.low,r.hi,k,k.low,k.hi,msy,msy.low,msy.hi,bmsy,bmsy.low,bmsy.hi,year,catch,catch_ma,b,b_lo,b_hi,bbmsy,bbmsy_lo,bbmsy_hi,s,s_lo,s_hi,f,f_lo,f_hi,fmsy,fmsy_lo,fmsy_hi,ffmsy,ffmsy_lo,ffmsy_hi,er
24,Lutjanus,IUU_40,0.380031931,0.310560981,0.465043188,1311.278814,837.5803889,2052.880119,124.5819551,76.86776685,201.9138081,655.6394071,418.7901944,1026.44006,2015,56.877016,35.398552,255.0276096,137.5824985,386.6635283,0.388975414,0.209844767,0.589750287,0.194487707,0.104922383,0.294875143,0.223022974,0.147096925,0.413402988,0.147823078,0.120800586,0.180890366,1.508715538,0.99508769,2.796606557,1.173706501
25,Lutjanus,IUU_60,0.380031931,0.310560981,0.465043188,1497.322212,950.1924475,2359.494452,142.257563,86.65778722,233.5302446,748.6611062,475.0962237,1179.747226,2015,65.002304,40.455488,285.876096,158.8653165,441.1472151,0.381849803,0.212199238,0.589248208,0.190924902,0.106099619,0.294624104,0.227379291,0.147348327,0.409166113,0.145115118,0.11858765,0.17757665,1.566889059,1.015389221,2.819596731,1.196632557
26,Micropogonias,IUU,0.798516219,0.518274632,1.230290106,1181.180308,484.357558,2880.489625,235.7979083,95.86594258,579.9833818,590.5901541,242.178779,1440.244812,2015,137.7817,111.0560333,317.0830425,124.2685656,469.1969049,0.536891854,0.210414218,0.79445433,0.268445927,0.105207109,0.397227165,0.434528756,0.293654324,1.108741373,0.399258109,0.259137316,0.615145053,1.088340464,0.735499962,2.777004014,1.088340464
27,Micropogonias,IUU_20,0.786627861,0.51298945,1.206230249,1413.864285,574.4235424,3480.031838,278.0462596,109.9786633,702.9520104,706.9321425,287.2117712,1740.015919,2015,165.33804,133.26724,382.6524206,157.0945408,560.032073,0.541285928,0.222220113,0.792200608,0.270642964,0.111110057,0.396100304,0.432084135,0.295229591,1.052474765,0.393313931,0.256494725,0.603115125,1.098573178,0.750620734,2.675915303,1.098573178
28,Micropogonias,IUU_40,0.786627861,0.51298945,1.206230249,1650.807766,684.1380909,3983.357042,324.6428456,133.5050913,789.4303968,825.4038832,342.0690455,1991.678521,2015,192.89438,155.4784467,453.2105335,176.2775817,648.961622,0.549077297,0.213565244,0.786235242,0.274538649,0.106782622,0.393117621,0.425617601,0.29723542,1.094264955,0.393313931,0.256494725,0.603115125,1.082132027,0.755720549,2.782166789,1.082132027
29,Micropogonias,IUU_60,0.786627861,0.51298945,1.206230249,1884.880105,785.4207359,4523.401086,370.6748013,154.0752672,891.7706966,942.4400524,392.7103679,2261.700543,2015,220.45072,177.6896533,503.222178,208.1529462,745.5234292,0.533956698,0.220865981,0.791056606,0.266978349,0.11043299,0.395528303,0.438078307,0.295699252,1.059080469,0.393313931,0.256494725,0.603115125,1.113813352,0.751814845,2.692710294,1.113813352
30,Mugil,IUU,0.579117434,0.519799302,0.645204796,3413.330347,2640.970632,4411.568956,494.1797779,369.3998518,661.1092335,1706.665173,1320.485316,2205.784478,2015,227.074,220.2056667,662.2222976,357.8296991,1000.337788,0.388021217,0.209666023,0.586135935,0.194010609,0.104833011,0.293067968,0.342896941,0.226997323,0.63458679,0.224709852,0.201693158,0.25035315,1.525954196,1.010179667,2.824027453,1.184205209
31,Mugil,IUU_20,0.579117434,0.519799302,0.645204796,4087.564043,3156.887915,5292.611032,591.7949,440.7915661,794.5279142,2043.782022,1578.443958,2646.305516,2015,272.4888,264.2468,780.2893465,423.8443239,1209.905914,0.381786971,0.207382353,0.591993618,0.190893485,0.103691176,0.295996809,0.349215072,0.225214867,0.642898311,0.221099491,0.198452601,0.246330784,1.579447653,1.018613235,2.907733117,1.206025069
32,Mugil,IUU_40,0.579117434,0.519799302,0.645204796,4768.796849,3700.319827,6145.799403,690.4233485,519.0005176,918.4661363,2384.398424,1850.159913,3072.899701,2015,317.9036,308.2879333,917.1370439,497.6533479,1412.742585,0.384640853,0.208712329,0.592494346,0.192320427,0.104356164,0.296247173,0.34662606,0.225025849,0.638805308,0.222752224,0.199936047,0.248172123,1.556105946,1.010206971,2.867784199,1.197083837
33,Mugil,IUU_60,0.579117434,0.519799302,0.645204796,5449.589046,4221.559023,7034.84675,788.9880061,591.1652788,1053.008517,2724.794523,2110.779512,3517.423375,2015,363.3184,352.3290667,1055.933277,568.5658736,1608.404962,0.387527671,0.208663761,0.590284863,0.193763836,0.104331881,0.295142431,0.344073255,0.225887391,0.639008454,0.224424031,0.201436613,0.250034712,1.533139095,1.006520514,2.847326342,1.188267647
34,Octopus,IUU,0.653769785,0.540640895,0.79057085,3969.055737,3007.000355,5238.909738,648.712179,546.3840698,770.2045401,1984.527868,1503.500177,2619.454869,2015,485.18524,575.75016,1160.374873,153.1572197,1569.50513,0.584710798,0.077175646,0.790870794,0.292355399,0.038587823,0.395435397,0.418128013,0.309132624,3.167890101,0.326884893,0.270320448,0.395285425,1.279129206,0.945692601,9.691148697,1.279129206
35,Octopus,IUU_20,0.660340281,0.551286854,0.790966234,4745.581076,3596.053506,6262.570819,783.4245849,647.9387043,947.24096,2372.790538,1798.026753,3131.285409,2015,582.222288,690.900192,1377.786515,160.9002736,1880.81881,0.580660826,0.067810568,0.792661122,0.290330413,0.033905284,0.396330561,0.422578013,0.309557882,3.618528888,0.33017014,0.275643427,0.395483117,1.279879558,0.937570799,10.95958855,1.279879558
36,Octopus,IUU_40,0.66365025,0.556688189,0.791164,5422.768958,4143.196171,7097.521325,899.7054939,749.2142128,1080.42528,2711.384479,2071.598086,3548.760662,2015,679.259336,806.050224,1501.940461,118.7627405,2143.385663,0.553938577,0.043801512,0.790513363,0.276969289,0.021900756,0.395256682,0.452254503,0.316909527,5.719464985,0.331825125,0.278344095,0.395582,1.362930256,0.955049822,17.23638312,1.362930256
37,Octopus,IUU_60,0.66365025,0.556688189,0.791164,6274.785074,4791.288613,8217.607182,1041.065671,865.909216,1251.652842,3137.392537,2395.644307,4108.803591,2015,776.296384,921.200256,1839.129976,195.8557089,2490.899331,0.586196963,0.062426268,0.793939331,0.293098481,0.031213134,0.396969665,0.422099794,0.311653054,3.963613767,0.331825125,0.278344095,0.395582,1.272054953,0.939208729,11.94488743,1.272054953
