"","Name","Adjusted","Year","Catch","Biomass","Biomass_MPA","Fishing","PV","Implementation_year","Reserve_size"
"13072","Squatina","IUU_40_legal",2045,377.737916714829,3977.10441108366,173.086868727297,0.0911123734337189,16617.4163941769,0,0
"13082","Squatina","IUU_40_legal",2046,391.540444486613,3793.36955150362,165.090575888686,0.0984486209100877,15400.9566522346,0,0
"13092","Squatina","IUU_40_legal",2047,401.393283622991,3597.77986044886,156.578350993191,0.105814442324473,14057.3100988626,0,0
"13103","Squatina","IUU_40_legal",2048,406.870545224488,3393.77292153482,147.699800518915,0.113089338705044,12621.6219241864,0,0
"13113","Squatina","IUU_40_legal",2049,407.757394482142,3184.92390790768,138.610518953974,0.12014869701351,11134.2481341689,0,0
"13122","Squatina","IUU_40_legal",2050,404.072250266427,2974.77093749636,129.464488112827,0.126870299558234,9637.75347714556,0,0
"13132","Squatina","IUU_40_legal",2051,396.063485511952,2766.64653265076,120.406742120525,0.133140834650378,8173.62864202905,0,0
"13142","Squatina","IUU_40_legal",2052,384.181206661213,2563.53289489092,111.567068850272,0.13886168765228,6779.19931959598,0,0
"13152","Squatina","IUU_40_legal",2053,369.029286615048,2367.95450050554,103.055335595159,0.143953404050527,5485.15791599177,0,0
"13162","Squatina","IUU_40_legal",2054,351.30602595363,2181.91518842394,94.9587510803944,0.148358435889976,4314.01147462867,0,0
"13172","Squatina","IUU_40_legal",2055,331.742866934379,2006.88004995286,87.3410772896893,0.152042054014943,3279.54927217293,0,0
"13182","Squatina","IUU_40_legal",2056,311.049483593659,1843.79657241419,80.2435496538392,0.154991566935436,2387.24601329552,0,0
"13192","Squatina","IUU_40_legal",2057,289.870968117186,1693.14564614765,73.6870969176043,0.157214181029549,1635.3783822785,0,0
"13202","Squatina","IUU_40_legal",2058,268.759679312799,1555.01152216716,67.6753857546939,0.158733939944444,1016.56745797972,0,0
"13213","Squatina","IUU_40_legal",2059,248.161481199625,1429.16029839053,62.1982365533081,0.15958819446802,519.464777656421,0,0
"13222","Squatina","IUU_40_legal",2060,228.414113638945,1315.11835376633,57.2350369341168,0.15982399867683,130.354997485019,0,0
"13232","Squatina","IUU_40_legal",2061,209.754451057326,1212.24460681527,52.7578865016617,0.159494733273714,-165.473917426622,0,0
"13242","Squatina","IUU_40_legal",2062,192.331275272717,1119.79294264208,48.7343137194712,0.15865715070327,-382.66469372016,0,0
"13252","Squatina","IUU_40_legal",2063,176.220627730932,1036.96324429486,45.129496836969,0.15736893939977,-535.038684049583,0,0
"13262","Squatina","IUU_40_legal",2064,161.441517970085,962.941010545785,41.9079880880108,0.155686827723452,-635.126477152501,0,0
"13272","Squatina","IUU_40_legal",2065,147.970518366646,896.926534308847,39.0349835597211,0.153665195215622,-693.928811933305,0,0
"13282","Squatina","IUU_40_legal",2066,135.754430300559,838.15513924511,36.4772039062708,0.151355127881425,-720.849598932899,0,0
"13292","Squatina","IUU_40_legal",2067,124.720703858078,785.910148290969,34.2034587499362,0.148803840742906,-723.746833672261,0,0
"13302","Squatina","IUU_40_legal",2068,114.785627034953,739.530207039973,32.1849654007251,0.146054389658366,-709.056184631932,0,0
"13313","Squatina","IUU_40_legal",2069,105.860495685474,698.412406366299,30.3954847555287,0.143145600649889,-681.952596365356,0,0
"13322","Squatina","IUU_40_legal",2070,97.8560673548326,662.012414712331,28.8113270553872,0.140112155028801,-646.525256951229,0,0
"13332","Squatina","IUU_40_legal",2071,90.6856249139904,629.842588197945,27.4112696358842,0.136984779890263,-605.949701364842,0,0
"13342","Squatina","IUU_40_legal",2072,84.2669576103614,601.468803224764,26.1764190794686,0.133790504467885,-562.647341482253,0,0
"13352","Squatina","IUU_40_legal",2073,78.5235281220749,576.506564389462,25.0900418286265,0.130552952540635,-518.42742631407,0,0
"13362","Squatina","IUU_40_legal",2074,73.3850478721601,554.61678398144,24.1373805061343,0.12729264921706,-474.609631829708,0,0
"13372","Squatina","IUU_40_legal",2075,68.7876371980528,535.501506545445,23.3054678444929,0.12402732694861,-432.127500761324,0,0
"13382","Squatina","IUU_40_legal",2076,64.6737061228743,518.899758765283,22.5829460694396,0.120772220679805,-391.614119807563,0,0
"13392","Squatina","IUU_40_legal",2077,60.9916571017047,504.583636187335,21.9598965909227,0.117540345840271,-353.472001469032,0,0
"13402","Squatina","IUU_40_legal",2078,57.6954834194481,492.354689026273,21.4276827103816,0.114342755653748,-317.929335764659,0,0
"13413","Squatina","IUU_40_legal",2079,54.7443153293084,482.040634995695,20.9788065604214,0.111188776200296,-285.084742560086,0,0
"13422","Squatina","IUU_40_legal",2080,52.1019496460998,473.49240402576,20.6067804884831,0.108086219010489,-254.942491422413,0,0
"13432","Squatina","IUU_40_legal",2081,49.7363863785865,466.581504853205,20.3060124486665,0.105041571851448,-227.439930923116,0,0
"13442","Squatina","IUU_40_legal",2082,47.6193871953918,461.197694454339,20.071704573529,0.102060168909554,-202.468625856043,0,0
"13452","Squatina","IUU_40_legal",2083,45.7260642888499,457.24692636572,19.8997638833069,0.0991463418804602,-179.890464035267,0,0
"13462","Squatina","IUU_40_legal",2084,44.0345038893961,454.649551787217,19.7867239964355,0.0963035536168395,-159.549777598236,0,0
"13472","Squatina","IUU_40_legal",2085,42.5254257816911,453.338747034312,19.7296766909735,0.0935345160124423,-141.282333007169,0,0
"13482","Squatina","IUU_40_legal",2086,41.1818782907228,453.259141721101,19.7262122019952,0.0908412937568866,-124.921880625932,0,0
"13492","Squatina","IUU_40_legal",2087,39.9889670456158,454.365623537145,19.7743672044913,0.0882253955072389,-110.304817684797,0,0
"13502","Squatina","IUU_40_legal",2088,38.9336151711732,456.622297304778,19.8725795106832,0.0856878539095516,-97.2734051515313,0,0
"13513","Squatina","IUU_40_legal",2089,38.0043522418843,460.001577951441,20.0196485954303,0.0832292957794785,-85.6778864928161,0,0
"13522","Squatina","IUU_40_legal",2090,37.1911292447995,464.483398963919,20.2147011475041,0.0808500036248255,-75.3777814528668,0,0
"13532","Squatina","IUU_40_legal",2091,36.4851568544328,470.054519721369,20.4571609241501,0.0785499695701007,-66.2425678968697,0,0
"13542","Squatina","IUU_40_legal",2092,35.8787644674849,476.707916782607,20.7467222594068,0.076328942627235,-58.1519168700732,0,0
"13552","Squatina","IUU_40_legal",2093,35.3652776384436,484.442245705515,21.0833266420432,0.0741864701495427,-50.995608061305,0,0
"13562","Squatina","IUU_40_legal",2094,34.9389117725912,493.261361295196,21.4671418363609,0.0721219342085001,-44.673222929498,0,0
"13572","Squatina","IUU_40_legal",2095,34.5946801533657,503.173885315049,21.898543068624,0.0701345835451769,-39.0936892696788,0,0
"13582","Squatina","IUU_40_legal",2096,34.3283145954592,514.19281166095,22.3780958439128,0.0682235616698697,-34.1747326590855,0,0
"13592","Squatina","IUU_40_legal",2097,34.1361972170014,526.335139806308,22.9065399933504,0.0663879316140853,-29.8422759752458,0,0
"13602","Squatina","IUU_40_legal",2098,34.0153020101063,539.621527990544,23.4847745805781,0.064626697777815,-26.0298171604461,0,0
"13613","Squatina","IUU_40_legal",2099,33.9631450574123,554.075958162063,24.1138433197979,0.0629388252612625,-22.6778069345079,0,0
"13622","Squatina","IUU_40_legal",2100,33.9777423926737,569.725405116277,24.7949201763848,0.0613232570230659,-19.7330416820051,0,0
"13632","Squatina","IUU_40_legal",2101,34.0575746364306,586.599502607126,25.5292948357853,0.0597789291658491,-17.1480818252399,0,0
"13642","Squatina","IUU_40_legal",2102,34.2015576541468,604.730199474502,26.3183577378989,0.0583047846139297,-14.8807022953035,0,0
"13652","Squatina","IUU_40_legal",2103,34.4090185850091,624.151399038074,27.1635843831984,0.056899785416554,-12.8933789579037,0,0
"13662","Squatina","IUU_40_legal",2104,34.6796766759174,644.898575178714,28.0665186242783,0.0555629238825146,-11.152812823866,0,0
